class,image_path,name,xmax,xmin,ymax,ymin
,aea5006c375c0e1fbb64bcc16623da70.jpg,,,,,
,94a08cf6618f19d9f62f68318ee6ba3f.jpg,,,,,
,32b93c7f77b655c5aa697d2ceb8f9fc6.jpg,,,,,
,240725a5a4bf80bc812ae91fed359a62.jpg,,,,,
7,64dc97be143d7d6b961f6c48c74a2eef.jpg,BAD_BILLBOARD,1208,923,494,341
,e6d2cbba99430190601ca0a4f40913c0.jpg,,,,,
,b50d8d6bbc8b744ee8bb656976969659.jpg,,,,,
,79f9ecfe5c4f3658acef391dff86f8a0.jpg,,,,,
,36a3d6fdfeb8f06db075350c39fbc71b.jpg,,,,,
,8bdbe9a6dd3f03877804a41b4d691850.jpg,,,,,
,ac79a71117fd2b1fc44c4cc08b486e0b.jpg,,,,,
,0b55874525b539ac5d2e93c0d2e06957.jpg,,,,,
,7564ab4d3af931ed40d97bf07ad5dde2.jpg,,,,,
,fa5fe44ca7518e57b3843577aa338f44.jpg,,,,,
,acff21d1ce5c22091894fbb7bb048793.jpg,,,,,
3,45e299772aa7550f761faf48e3d80b80.jpg,GARBAGE,967,521,167,25
,aca9adc33949cb8b223380cce6bb4395.jpg,,,,,
7,b63f4555c510689238ae0059383cc0ed.jpg,BAD_BILLBOARD,1072,549,474,270
,24de6d15b150f35113cadadf048e1538.jpg,,,,,
,360bb15954a8bf1c73e870a7d5551cf8.jpg,,,,,
2,eff82e9be44a893c3864ff00057cd388.jpg,POTHOLES,754,200,633,427
0,4523d7323ba7d51a0339eba0593fdf33.jpg,GRAFFITI,1048,-14,749,466
3,0740268ccc17584dc6cdee23b0043f4f.jpg,GARBAGE,818,419,543,404
0,c3aa05bb138ed926933a98066783bcbe.jpg,GRAFFITI,699,-26,573,-18
,da46844265b2f9a74317f07dceb34d8d.jpg,,,,,
,ac3e1f005ee65bc368e4e082b20d135a.jpg,,,,,
,89144a34c9ab0e96322e88ec6381b53e.jpg,,,,,
3,d6eee792d5e1a4900bbff9f9c0692665.jpg,GARBAGE,970,774,571,469
,9fd5d9bb5dc417c72b6a35451e0f4619.jpg,,,,,
,379f800945750027b3f04f102f0bf2a9.jpg,,,,,
,3403ec3125fd76b911e88ada121e366a.jpg,,,,,
,b1a64fc1b6c0d7527b30f459be059ef0.jpg,,,,,
,1d920bc3f201f392a8ddfa5dbefa89e8.jpg,,,,,
,2f6dda045ce480187fb9c70be884b0fc.jpg,,,,,
,8105b8cce38674ce59a02b8ddf34547e.jpg,,,,,
,fbf367e6d83dc6c8fac32569b5f10c4a.jpg,,,,,
7,18a6db267af3792c42a2f0e354be3de6.jpg,BAD_BILLBOARD,1912,1533,353,31
1,18a6db267af3792c42a2f0e354be3de6.jpg,FADED_SIGNAGE,1425,795,354,47
,534812c026e86302c5522e8692eedb24.jpg,,,,,
,ce187ad9601143de21bc28e41bc703aa.jpg,,,,,
,e41cf09fa1dedf29ec6af06474158cc5.jpg,,,,,
7,c2160d27812c651f4604b622353fd068.jpg,BAD_BILLBOARD,1859,770,232,-5
10,9bfe4498ee0afc348d4669aec719d08c.jpg,UNKEPT_FACADE,1922,958,577,281
0,8ea94f32c8b23293a434dbc1912294e9.jpg,GRAFFITI,777,412,556,428
0,8ea94f32c8b23293a434dbc1912294e9.jpg,GRAFFITI,1360,835,593,435
0,8ea94f32c8b23293a434dbc1912294e9.jpg,GRAFFITI,1841,1451,596,472
,3fae47f3d50bdba8ed3a31177a8376f4.jpg,,,,,
4,41d30f0788ae446d77c4afc3d54ce7bc.jpg,CONSTRUCTION_ROAD,1868,1119,689,126
4,41d30f0788ae446d77c4afc3d54ce7bc.jpg,CONSTRUCTION_ROAD,846,27,715,183
,4ae005f0c58cc3812b1188b78bab5bef.jpg,,,,,
4,03eab36eff5829fe7c8fcc12ef0db6fe.jpg,CONSTRUCTION_ROAD,689,8,623,240
,3df2b9655ecb6a7255ba971ec4c98ab3.jpg,,,,,
,8e2496ef9996f4e5ba6fca41727720ce.jpg,,,,,
,16d9f1c8f9c8484bcc4b9c0b43dca61c.jpg,,,,,
